,pop,month,day,hours,city,city_id
1156,0.86,6,23,9,Carcassonne,104358485
1124,0.0,6,19,9,Carcassonne,104358485
1143,0.0,6,21,18,Carcassonne,104358485
1135,0.0,6,20,18,Carcassonne,104358485
1127,0.0,6,19,18,Carcassonne,104358485
1158,0.0,6,23,15,Carcassonne,104358485
1150,0.2,6,22,15,Carcassonne,104358485
1142,0.0,6,21,15,Carcassonne,104358485
1134,0.3,6,20,15,Carcassonne,104358485
1126,0.0,6,19,15,Carcassonne,104358485
1151,0.99,6,22,18,Carcassonne,104358485
1159,0.0,6,23,18,Carcassonne,104358485
1132,0.25,6,20,9,Carcassonne,104358485
1140,0.0,6,21,9,Carcassonne,104358485
1148,0.0,6,22,9,Carcassonne,104358485
1244,0.0,6,19,9,Montauban,105191250
1277,0.0,6,23,12,Montauban,105191250
1279,0.2,6,23,18,Montauban,105191250
1271,0.39,6,22,18,Montauban,105191250
1247,0.94,6,19,18,Montauban,105191250
1255,1.0,6,20,18,Montauban,105191250
1246,0.49,6,19,15,Montauban,105191250
1252,0.2,6,20,9,Montauban,105191250
1260,0.2,6,21,9,Montauban,105191250
1268,1.0,6,22,9,Montauban,105191250
1276,0.0,6,23,9,Montauban,105191250
1269,1.0,6,22,12,Montauban,105191250
1261,0.2,6,21,12,Montauban,105191250
1253,1.0,6,20,12,Montauban,105191250
1245,0.0,6,19,12,Montauban,105191250
1254,1.0,6,20,15,Montauban,105191250
1263,0.0,6,21,18,Montauban,105191250
1278,0.0,6,23,15,Montauban,105191250
1270,0.14,6,22,15,Montauban,105191250
1262,0.39,6,21,15,Montauban,105191250
950,0.39,6,22,15,Uzès,106427400
934,0.34,6,20,15,Uzès,106427400
926,0.0,6,19,15,Uzès,106427400
951,0.0,6,22,18,Uzès,106427400
959,0.0,6,23,18,Uzès,106427400
925,0.0,6,19,12,Uzès,106427400
941,0.0,6,21,12,Uzès,106427400
949,0.0,6,22,12,Uzès,106427400
957,0.0,6,23,12,Uzès,106427400
942,0.0,6,21,15,Uzès,106427400
958,0.0,6,23,15,Uzès,106427400
933,1.0,6,20,12,Uzès,106427400
927,0.0,6,19,18,Uzès,106427400
935,0.23,6,20,18,Uzès,106427400
924,0.0,6,19,9,Uzès,106427400
943,0.0,6,21,18,Uzès,106427400
956,0.0,6,23,9,Uzès,106427400
948,0.0,6,22,9,Uzès,106427400
940,0.0,6,21,9,Uzès,106427400
932,1.0,6,20,9,Uzès,106427400
589,0.99,6,22,12,Annecy,107354879
575,0.8,6,20,18,Annecy,107354879
583,1.0,6,21,18,Annecy,107354879
591,1.0,6,22,18,Annecy,107354879
599,1.0,6,23,18,Annecy,107354879
597,1.0,6,23,12,Annecy,107354879
564,0.0,6,19,9,Annecy,107354879
572,1.0,6,20,9,Annecy,107354879
581,1.0,6,21,12,Annecy,107354879
588,0.24,6,22,9,Annecy,107354879
596,0.66,6,23,9,Annecy,107354879
566,0.0,6,19,15,Annecy,107354879
567,0.0,6,19,18,Annecy,107354879
598,1.0,6,23,15,Annecy,107354879
590,1.0,6,22,15,Annecy,107354879
582,1.0,6,21,15,Annecy,107354879
574,1.0,6,20,15,Annecy,107354879
580,1.0,6,21,9,Annecy,107354879
573,1.0,6,20,12,Annecy,107354879
565,0.0,6,19,12,Annecy,107354879
631,1.0,6,22,18,Grenoble,108194303
639,0.97,6,23,18,Grenoble,108194303
623,1.0,6,21,18,Grenoble,108194303
615,0.8,6,20,18,Grenoble,108194303
606,0.0,6,19,15,Grenoble,108194303
638,0.87,6,23,15,Grenoble,108194303
630,1.0,6,22,15,Grenoble,108194303
622,1.0,6,21,15,Grenoble,108194303
607,0.0,6,19,18,Grenoble,108194303
614,1.0,6,20,15,Grenoble,108194303
613,1.0,6,20,12,Grenoble,108194303
605,0.0,6,19,12,Grenoble,108194303
637,1.0,6,23,12,Grenoble,108194303
629,0.98,6,22,12,Grenoble,108194303
621,1.0,6,21,12,Grenoble,108194303
636,1.0,6,23,9,Grenoble,108194303
604,0.0,6,19,9,Grenoble,108194303
628,0.0,6,22,9,Grenoble,108194303
620,1.0,6,21,9,Grenoble,108194303
612,1.0,6,20,9,Grenoble,108194303
670,1.0,6,22,15,Lyon,108560795
662,0.0,6,21,15,Lyon,108560795
654,1.0,6,20,15,Lyon,108560795
646,0.0,6,19,15,Lyon,108560795
647,0.0,6,19,18,Lyon,108560795
644,0.0,6,19,9,Lyon,108560795
652,0.25,6,20,9,Lyon,108560795
660,0.37,6,21,9,Lyon,108560795
668,0.0,6,22,9,Lyon,108560795
678,0.0,6,23,15,Lyon,108560795
676,0.0,6,23,9,Lyon,108560795
677,0.09,6,23,12,Lyon,108560795
645,0.0,6,19,12,Lyon,108560795
669,0.78,6,22,12,Lyon,108560795
661,0.23,6,21,12,Lyon,108560795
679,0.2,6,23,18,Lyon,108560795
671,1.0,6,22,18,Lyon,108560795
653,1.0,6,20,12,Lyon,108560795
663,0.0,6,21,18,Lyon,108560795
655,0.72,6,20,18,Lyon,108560795
486,0.06,6,19,15,Besançon,110217040
494,0.9,6,20,15,Besançon,110217040
502,0.2,6,21,15,Besançon,110217040
510,1.0,6,22,15,Besançon,110217040
500,1.0,6,21,9,Besançon,110217040
508,0.21,6,22,9,Besançon,110217040
487,0.82,6,19,18,Besançon,110217040
495,0.74,6,20,18,Besançon,110217040
503,0.0,6,21,18,Besançon,110217040
484,0.0,6,19,9,Besançon,110217040
492,0.98,6,20,9,Besançon,110217040
518,1.0,6,23,15,Besançon,110217040
516,0.2,6,23,9,Besançon,110217040
519,1.0,6,23,18,Besançon,110217040
485,0.0,6,19,12,Besançon,110217040
517,0.41,6,23,12,Besançon,110217040
509,1.0,6,22,12,Besançon,110217040
501,1.0,6,21,12,Besançon,110217040
493,0.87,6,20,12,Besançon,110217040
511,1.0,6,22,18,Besançon,110217040
541,0.39,6,21,12,Dijon,111540922
533,1.0,6,20,12,Dijon,111540922
525,0.0,6,19,12,Dijon,111540922
550,0.95,6,22,15,Dijon,111540922
524,0.06,6,19,9,Dijon,111540922
532,1.0,6,20,9,Dijon,111540922
540,0.22,6,21,9,Dijon,111540922
548,0.22,6,22,9,Dijon,111540922
556,0.32,6,23,9,Dijon,111540922
558,1.0,6,23,15,Dijon,111540922
542,0.38,6,21,15,Dijon,111540922
534,1.0,6,20,15,Dijon,111540922
559,1.0,6,23,18,Dijon,111540922
526,0.63,6,19,15,Dijon,111540922
543,0.0,6,21,18,Dijon,111540922
549,1.0,6,22,12,Dijon,111540922
551,1.0,6,22,18,Dijon,111540922
527,1.0,6,19,18,Dijon,111540922
535,1.0,6,20,18,Dijon,111540922
557,1.0,6,23,12,Dijon,111540922
213,0.59,6,20,12,Paris,114827617
230,1.0,6,22,15,Paris,114827617
222,1.0,6,21,15,Paris,114827617
214,0.2,6,20,15,Paris,114827617
206,0.0,6,19,15,Paris,114827617
239,0.2,6,23,18,Paris,114827617
221,1.0,6,21,12,Paris,114827617
231,1.0,6,22,18,Paris,114827617
229,1.0,6,22,12,Paris,114827617
236,0.06,6,23,9,Paris,114827617
228,1.0,6,22,9,Paris,114827617
220,0.88,6,21,9,Paris,114827617
212,0.0,6,20,9,Paris,114827617
204,0.0,6,19,9,Paris,114827617
223,0.94,6,21,18,Paris,114827617
215,0.0,6,20,18,Paris,114827617
207,0.0,6,19,18,Paris,114827617
205,0.0,6,19,12,Paris,114827617
238,0.29,6,23,15,Paris,114827617
237,0.73,6,23,12,Paris,114827617
164,0.0,6,19,9,Rouen,116490697
181,1.0,6,21,12,Rouen,116490697
173,0.0,6,20,12,Rouen,116490697
189,1.0,6,22,12,Rouen,116490697
197,0.79,6,23,12,Rouen,116490697
165,0.2,6,19,12,Rouen,116490697
172,0.0,6,20,9,Rouen,116490697
166,0.56,6,19,15,Rouen,116490697
199,0.01,6,23,18,Rouen,116490697
188,1.0,6,22,9,Rouen,116490697
196,0.2,6,23,9,Rouen,116490697
167,0.0,6,19,18,Rouen,116490697
198,0.36,6,23,15,Rouen,116490697
190,1.0,6,22,15,Rouen,116490697
182,0.77,6,21,15,Rouen,116490697
174,0.74,6,20,15,Rouen,116490697
180,1.0,6,21,9,Rouen,116490697
191,0.74,6,22,18,Rouen,116490697
183,0.18,6,21,18,Rouen,116490697
175,0.29,6,20,18,Rouen,116490697
261,1.0,6,21,12,Amiens,116694242
276,0.2,6,23,9,Amiens,116694242
260,0.54,6,21,9,Amiens,116694242
268,1.0,6,22,9,Amiens,116694242
279,1.0,6,23,18,Amiens,116694242
252,0.0,6,20,9,Amiens,116694242
244,0.0,6,19,9,Amiens,116694242
253,0.0,6,20,12,Amiens,116694242
254,0.0,6,20,15,Amiens,116694242
246,0.0,6,19,15,Amiens,116694242
278,1.0,6,23,15,Amiens,116694242
270,0.82,6,22,15,Amiens,116694242
271,0.34,6,22,18,Amiens,116694242
277,1.0,6,23,12,Amiens,116694242
262,1.0,6,21,15,Amiens,116694242
245,0.2,6,19,12,Amiens,116694242
263,1.0,6,21,18,Amiens,116694242
255,0.9,6,20,18,Amiens,116694242
247,0.0,6,19,18,Amiens,116694242
269,1.0,6,22,12,Amiens,116694242
124,0.0,6,19,9,Le Havre,116797886
127,0.03,6,19,18,Le Havre,116797886
135,0.46,6,20,18,Le Havre,116797886
143,0.55,6,21,18,Le Havre,116797886
151,0.12,6,22,18,Le Havre,116797886
