,dt,main,weather,clouds,wind,visibility,pop,sys,dt_txt,rain,city,city_id,month,day,hours
22,1718982000,"{'temp': 289.69, 'feels_like': 289.51, 'temp_min': 289.69, 'temp_max': 289.69, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 1009, 'humidity': 81, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 53},"{'speed': 2.99, 'deg': 311, 'gust': 4.68}",10000.0,0.0,{'pod': 'd'},2024-06-21 15:00:00,,Mont Saint-Michel,276970680,6,21,15
23,1718992800,"{'temp': 290.48, 'feels_like': 290.33, 'temp_min': 290.48, 'temp_max': 290.48, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 1009, 'humidity': 79, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 77},"{'speed': 3.13, 'deg': 240, 'gust': 6.26}",10000.0,0.2,{'pod': 'd'},2024-06-21 18:00:00,{'3h': 0.14},Mont Saint-Michel,276970680,6,21,18
24,1719003600,"{'temp': 287.86, 'feels_like': 287.48, 'temp_min': 287.86, 'temp_max': 287.86, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 1009, 'humidity': 80, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 99},"{'speed': 5.89, 'deg': 214, 'gust': 10.46}",10000.0,0.0,{'pod': 'n'},2024-06-21 21:00:00,,Mont Saint-Michel,276970680,6,21,21
25,1719014400,"{'temp': 287.34, 'feels_like': 287.03, 'temp_min': 287.34, 'temp_max': 287.34, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 1008, 'humidity': 85, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",{'all': 99},"{'speed': 4.96, 'deg': 183, 'gust': 9.7}",10000.0,0.05,{'pod': 'n'},2024-06-22 00:00:00,,Mont Saint-Michel,276970680,6,22,0
26,1719025200,"{'temp': 286.38, 'feels_like': 286.27, 'temp_min': 286.38, 'temp_max': 286.38, 'pressure': 1011, 'sea_level': 1011, 'grnd_level': 1006, 'humidity': 96, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",{'all': 100},"{'speed': 6.08, 'deg': 194, 'gust': 11.96}",10000.0,1.0,{'pod': 'n'},2024-06-22 03:00:00,{'3h': 2.18},Mont Saint-Michel,276970680,6,22,3
27,1719036000,"{'temp': 287.48, 'feels_like': 287.4, 'temp_min': 287.48, 'temp_max': 287.48, 'pressure': 1012, 'sea_level': 1012, 'grnd_level': 1006, 'humidity': 93, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 96},"{'speed': 5.37, 'deg': 273, 'gust': 8.87}",10000.0,1.0,{'pod': 'd'},2024-06-22 06:00:00,{'3h': 0.69},Mont Saint-Michel,276970680,6,22,6
28,1719046800,"{'temp': 288.26, 'feels_like': 288.05, 'temp_min': 288.26, 'temp_max': 288.26, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 1008, 'humidity': 85, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 96},"{'speed': 6.74, 'deg': 290, 'gust': 8.6}",10000.0,1.0,{'pod': 'd'},2024-06-22 09:00:00,{'3h': 1.1},Mont Saint-Michel,276970680,6,22,9
29,1719057600,"{'temp': 289.13, 'feels_like': 288.79, 'temp_min': 289.13, 'temp_max': 289.13, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 1009, 'humidity': 77, 'temp_kf': 0}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",{'all': 97},"{'speed': 7.39, 'deg': 297, 'gust': 9.4}",10000.0,1.0,{'pod': 'd'},2024-06-22 12:00:00,{'3h': 0.22},Mont Saint-Michel,276970680,6,22,12
30,1719068400,"{'temp': 289.83, 'feels_like': 289.43, 'temp_min': 289.83, 'temp_max': 289.83, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 1010, 'humidity': 72, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",{'all': 39},"{'speed': 7.66, 'deg': 300, 'gust': 9.53}",10000.0,0.0,{'pod': 'd'},2024-06-22 15:00:00,,Mont Saint-Michel,276970680,6,22,15
31,1719079200,"{'temp': 288.65, 'feels_like': 288.42, 'temp_min': 288.65, 'temp_max': 288.65, 'pressure': 1016, 'sea_level': 1016, 'grnd_level': 1010, 'humidity': 83, 'temp_kf': 0}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",{'all': 19},"{'speed': 6.38, 'deg': 297, 'gust': 8.84}",10000.0,0.0,{'pod': 'd'},2024-06-22 18:00:00,,Mont Saint-Michel,276970680,6,22,18
32,1719090000,"{'temp': 286.57, 'feels_like': 286.29, 'temp_min': 286.57, 'temp_max': 286.57, 'pressure': 1017, 'sea_level': 1017, 'grnd_level': 1012, 'humidity': 89, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",{'all': 39},"{'speed': 5.68, 'deg': 297, 'gust': 9.48}",10000.0,0.0,{'pod': 'n'},2024-06-22 21:00:00,,Mont Saint-Michel,276970680,6,22,21
33,1719100800,"{'temp': 286.06, 'feels_like': 285.76, 'temp_min': 286.06, 'temp_max': 286.06, 'pressure': 1017, 'sea_level': 1017, 'grnd_level': 1012, 'humidity': 90, 'temp_kf': 0}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",{'all': 24},"{'speed': 4.56, 'deg': 295, 'gust': 7.99}",10000.0,0.0,{'pod': 'n'},2024-06-23 00:00:00,,Mont Saint-Michel,276970680,6,23,0
34,1719111600,"{'temp': 286.37, 'feels_like': 286.02, 'temp_min': 286.37, 'temp_max': 286.37, 'pressure': 1017, 'sea_level': 1017, 'grnd_level': 1012, 'humidity': 87, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",{'all': 41},"{'speed': 4.24, 'deg': 302, 'gust': 6.78}",10000.0,0.0,{'pod': 'n'},2024-06-23 03:00:00,,Mont Saint-Michel,276970680,6,23,3
35,1719122400,"{'temp': 287.5, 'feels_like': 287.29, 'temp_min': 287.5, 'temp_max': 287.5, 'pressure': 1018, 'sea_level': 1018, 'grnd_level': 1013, 'humidity': 88, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",{'all': 30},"{'speed': 3.22, 'deg': 323, 'gust': 5.52}",10000.0,0.0,{'pod': 'd'},2024-06-23 06:00:00,,Mont Saint-Michel,276970680,6,23,6
36,1719133200,"{'temp': 288.93, 'feels_like': 288.7, 'temp_min': 288.93, 'temp_max': 288.93, 'pressure': 1019, 'sea_level': 1019, 'grnd_level': 1014, 'humidity': 82, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 77},"{'speed': 4.45, 'deg': 332, 'gust': 4.99}",10000.0,0.0,{'pod': 'd'},2024-06-23 09:00:00,,Mont Saint-Michel,276970680,6,23,9
37,1719144000,"{'temp': 291.03, 'feels_like': 290.91, 'temp_min': 291.03, 'temp_max': 291.03, 'pressure': 1020, 'sea_level': 1020, 'grnd_level': 1015, 'humidity': 78, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 76},"{'speed': 5.11, 'deg': 317, 'gust': 4.92}",10000.0,0.0,{'pod': 'd'},2024-06-23 12:00:00,,Mont Saint-Michel,276970680,6,23,12
38,1719154800,"{'temp': 291.19, 'feels_like': 291.06, 'temp_min': 291.19, 'temp_max': 291.19, 'pressure': 1020, 'sea_level': 1020, 'grnd_level': 1015, 'humidity': 77, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",{'all': 27},"{'speed': 5.78, 'deg': 324, 'gust': 6.06}",10000.0,0.0,{'pod': 'd'},2024-06-23 15:00:00,,Mont Saint-Michel,276970680,6,23,15
39,1719165600,"{'temp': 290.45, 'feels_like': 290.35, 'temp_min': 290.45, 'temp_max': 290.45, 'pressure': 1021, 'sea_level': 1021, 'grnd_level': 1016, 'humidity': 81, 'temp_kf': 0}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",{'all': 17},"{'speed': 5.07, 'deg': 331, 'gust': 6.88}",10000.0,0.0,{'pod': 'd'},2024-06-23 18:00:00,,Mont Saint-Michel,276970680,6,23,18
40,1718744400,"{'temp': 290.39, 'feels_like': 290.05, 'temp_min': 289.03, 'temp_max': 290.39, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 1012, 'humidity': 72, 'temp_kf': 1.36}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",{'all': 0},"{'speed': 5.69, 'deg': 24, 'gust': 9.6}",10000.0,0.0,{'pod': 'n'},2024-06-18 21:00:00,,Saint-Malo,277106181,6,18,21
41,1718755200,"{'temp': 289.74, 'feels_like': 289.49, 'temp_min': 288.43, 'temp_max': 289.74, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 1012, 'humidity': 78, 'temp_kf': 1.31}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",{'all': 32},"{'speed': 5.08, 'deg': 32, 'gust': 9.46}",10000.0,0.0,{'pod': 'n'},2024-06-19 00:00:00,,Saint-Malo,277106181,6,19,0
42,1718766000,"{'temp': 289.07, 'feels_like': 288.88, 'temp_min': 288.41, 'temp_max': 289.07, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 1012, 'humidity': 83, 'temp_kf': 0.66}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",{'all': 66},"{'speed': 5.94, 'deg': 39, 'gust': 10.15}",10000.0,0.0,{'pod': 'n'},2024-06-19 03:00:00,,Saint-Malo,277106181,6,19,3
43,1718776800,"{'temp': 288.24, 'feels_like': 288.1, 'temp_min': 288.24, 'temp_max': 288.24, 'pressure': 1016, 'sea_level': 1016, 'grnd_level': 1013, 'humidity': 88, 'temp_kf': 0}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",{'all': 98},"{'speed': 7, 'deg': 42, 'gust': 11.2}",10000.0,0.0,{'pod': 'd'},2024-06-19 06:00:00,,Saint-Malo,277106181,6,19,6
44,1718787600,"{'temp': 290.27, 'feels_like': 290.1, 'temp_min': 290.27, 'temp_max': 290.27, 'pressure': 1017, 'sea_level': 1017, 'grnd_level': 1015, 'humidity': 79, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 66},"{'speed': 7.65, 'deg': 46, 'gust': 10.21}",10000.0,0.0,{'pod': 'd'},2024-06-19 09:00:00,,Saint-Malo,277106181,6,19,9
